Date,Open,High,Low,Close,Adj Close,Volume
1995-09-14,2.27778,2.38889,2.27778,2.36111,2.36111,12915900
1995-09-15,2.33333,2.38889,2.30556,2.36111,2.36111,3802500
1995-09-18,2.33333,2.41667,2.33333,2.36111,2.36111,1345500
1995-09-19,2.33333,2.41667,2.33333,2.33333,2.33333,1305000
1995-09-20,2.33333,2.41667,2.33333,2.36111,2.36111,648900
1995-09-21,2.33333,2.38889,2.33333,2.38889,2.38889,1063800
1995-09-22,2.33333,2.38889,2.33333,2.33333,2.33333,621000
1995-09-25,2.33333,2.38889,2.33333,2.36111,2.36111,594000
1995-09-26,2.33333,2.38889,2.33333,2.33333,2.33333,686700
1995-09-27,2.38889,2.41667,2.33333,2.36111,2.36111,1115100
1995-09-28,2.38889,2.38889,2.33333,2.33333,2.33333,69300
1995-09-29,2.40278,2.41667,2.36111,2.41667,2.41667,237600
1995-10-02,2.36111,2.44444,2.36111,2.36111,2.36111,256500
1995-10-03,2.36111,2.44444,2.36111,2.44444,2.44444,548100
1995-10-04,2.40278,2.47222,2.38889,2.41667,2.41667,281700
1995-10-05,2.41667,2.50000,2.41667,2.45833,2.45833,432900
1995-10-06,2.41667,2.50000,2.41667,2.50000,2.50000,498600
1995-10-09,2.41667,2.50000,2.41667,2.50000,2.50000,57600
1995-10-10,2.41667,2.44444,2.38889,2.38889,2.38889,1080000
1995-10-11,2.38889,2.41667,2.38889,2.41667,2.41667,140400
1995-10-12,2.38889,2.50000,2.38889,2.45833,2.45833,321300
1995-10-13,2.45833,2.50000,2.41667,2.45833,2.45833,1192500
1995-10-16,2.41667,2.45833,2.41667,2.44444,2.44444,100800
1995-10-17,2.41667,2.50000,2.41667,2.43056,2.43056,127800
1995-10-18,2.50000,2.50000,2.43056,2.44444,2.44444,57600
1995-10-19,2.50000,2.50000,2.43056,2.43056,2.43056,405900
1995-10-20,2.43056,2.50000,2.37500,2.37500,2.37500,349200
1995-10-23,2.41667,2.41667,2.37500,2.37500,2.37500,431100
1995-10-24,2.37500,2.44444,2.37500,2.40278,2.40278,1346400
1995-10-25,2.44444,2.44444,2.40278,2.40278,2.40278,323100
1995-10-26,2.40278,2.44444,2.40278,2.40278,2.40278,240300
1995-10-27,2.40278,2.47222,2.40278,2.45833,2.45833,541800
1995-10-30,2.43056,2.47222,2.41667,2.41667,2.41667,130500
1995-10-31,2.41667,2.47222,2.41667,2.44444,2.44444,153000
1995-11-01,2.41667,2.44444,2.41667,2.43056,2.43056,205200
1995-11-02,2.44444,2.44444,2.41667,2.43056,2.43056,179100
1995-11-03,2.44444,2.44444,2.41667,2.43056,2.43056,69300
1995-11-06,2.41667,2.44444,2.38889,2.40278,2.40278,232200
1995-11-07,2.38889,2.41667,2.36111,2.41667,2.41667,364500
1995-11-08,2.36111,2.36111,2.36111,2.36111,2.36111,16200
1995-11-09,2.36111,2.41667,2.36111,2.36111,2.36111,67500
1995-11-10,2.36111,2.36111,2.30556,2.30556,2.30556,178200
1995-11-13,2.30556,2.36111,2.29167,2.33333,2.33333,478800
1995-11-14,2.36111,2.36111,2.29167,2.33333,2.33333,63900
1995-11-15,2.27778,2.34722,2.27778,2.27778,2.27778,17100
1995-11-16,2.27778,2.30556,2.26389,2.29167,2.29167,291600
1995-11-17,2.26389,2.26389,2.20833,2.23611,2.23611,252900
1995-11-20,2.22222,2.25000,2.22222,2.22222,2.22222,75600
1995-11-21,2.22222,2.25000,2.22222,2.25000,2.25000,3600
1995-11-22,2.25000,2.30556,2.23611,2.30556,2.30556,109800
1995-11-24,2.25000,2.25000,2.25000,2.25000,2.25000,18000
1995-11-27,2.25000,2.25000,2.25000,2.25000,2.25000,4500
1995-11-28,2.30556,2.33333,2.25000,2.33333,2.33333,551700
1995-11-29,2.33333,2.33333,2.27778,2.27778,2.27778,271800
1995-11-30,2.27778,2.47222,2.27778,2.29167,2.29167,1051200
1995-12-01,2.29861,2.29861,2.20833,2.23611,2.23611,1290600
1995-12-04,2.25000,2.25000,2.22222,2.25000,2.25000,102600
1995-12-05,2.27778,2.27778,2.22222,2.25000,2.25000,141300
1995-12-06,2.22222,2.25000,2.22222,2.25000,2.25000,22500
1995-12-07,2.22222,2.22222,2.22222,2.22222,2.22222,57600
1995-12-08,2.22222,2.27778,2.22222,2.25000,2.25000,174600
1995-12-11,2.30556,2.33333,2.27778,2.27778,2.27778,64800
1995-12-12,2.36111,2.38889,2.30556,2.34722,2.34722,804600
1995-12-13,2.33333,2.36111,2.33333,2.36111,2.36111,45000
1995-12-14,2.36111,2.36111,2.33333,2.36111,2.36111,34200
1995-12-15,2.37500,2.37500,2.37500,2.37500,2.37500,4500
1995-12-18,2.33333,2.33333,2.27778,2.29167,2.29167,540000
1995-12-19,2.27778,2.34722,2.27778,2.27778,2.27778,13500
1995-12-20,2.27778,2.29167,2.25000,2.29167,2.29167,104400
1995-12-21,2.25000,2.27778,2.20833,2.26389,2.26389,221400
1995-12-22,2.29167,2.29167,2.22222,2.22222,2.22222,2700
1995-12-26,2.22222,2.25000,2.22222,2.22222,2.22222,508500
1995-12-27,2.22222,2.29167,2.22222,2.23611,2.23611,1148400
1995-12-28,2.25000,2.30556,2.22222,2.30556,2.30556,145800
1995-12-29,2.34722,2.59722,2.29167,2.59722,2.59722,523800
1996-01-02,2.55556,2.58333,2.52778,2.56944,2.56944,1511100
1996-01-03,2.52778,2.58333,2.52778,2.54167,2.54167,1087200
1996-01-04,2.52778,2.55556,2.52778,2.55556,2.55556,306000
1996-01-05,2.52778,2.52778,2.50000,2.50000,2.50000,1422900
1996-01-08,2.50000,2.50000,2.50000,2.50000,2.50000,0
1996-01-09,2.50000,2.54167,2.50000,2.50000,2.50000,186300
1996-01-10,2.50000,2.52778,2.50000,2.50000,2.50000,46800
1996-01-11,2.50000,2.50000,2.50000,2.50000,2.50000,7200
1996-01-12,2.50000,2.52778,2.45833,2.45833,2.45833,48600
1996-01-15,2.52778,2.52778,2.48611,2.48611,2.48611,19800
1996-01-16,2.48611,2.48611,2.44444,2.44444,2.44444,18000
1996-01-17,2.44444,2.52778,2.44444,2.44444,2.44444,147600
1996-01-18,2.37500,2.41667,2.36111,2.37500,2.37500,34200
1996-01-19,2.37500,2.37500,2.37500,2.37500,2.37500,0
1996-01-22,2.36111,2.41667,2.36111,2.41667,2.41667,95400
1996-01-23,2.36111,2.36111,2.27778,2.27778,2.27778,100800
1996-01-24,2.27778,2.27778,2.22222,2.27778,2.27778,254700
1996-01-25,2.27778,2.27778,2.26389,2.27778,2.27778,27900
1996-01-26,2.23611,2.26389,2.23611,2.26389,2.26389,18000
1996-01-29,2.25000,2.27778,2.25000,2.27778,2.27778,83700
1996-01-30,2.27778,2.27778,2.25000,2.26389,2.26389,46800
1996-01-31,2.27778,2.30556,2.25000,2.26389,2.26389,378000
1996-02-01,2.25000,2.25000,2.23611,2.23611,2.23611,81000
1996-02-02,2.22222,2.27778,2.22222,2.27778,2.27778,15300
1996-02-05,2.22222,2.22222,2.22222,2.22222,2.22222,21600
1996-02-06,2.22222,2.27778,2.22222,2.27778,2.27778,40500
1996-02-07,2.27778,2.27778,2.27778,2.27778,2.27778,4500
1996-02-08,2.22222,2.27778,2.22222,2.22222,2.22222,119700
1996-02-09,2.27778,2.27778,2.27778,2.27778,2.27778,6300
1996-02-12,2.22222,2.25000,2.19444,2.22222,2.22222,279000
1996-02-13,2.19444,2.23611,2.19444,2.23611,2.23611,51300
1996-02-14,2.23611,2.23611,2.22222,2.22222,2.22222,14400
1996-02-15,2.22222,2.22222,2.22222,2.22222,2.22222,30600
1996-02-16,2.23611,2.27778,2.20139,2.20139,2.20139,1059300
1996-02-20,2.25000,2.25000,2.20833,2.20833,2.20833,740700
1996-02-21,2.23611,2.23611,2.20833,2.23611,2.23611,51300
1996-02-22,2.23611,2.23611,2.23611,2.23611,2.23611,234000
1996-02-23,2.20833,2.25000,2.20833,2.22222,2.22222,1557000
1996-02-26,2.26389,2.26389,2.20833,2.22222,2.22222,1207800
1996-02-27,2.26389,2.26389,2.20833,2.22222,2.22222,214200
1996-02-28,2.25000,2.25000,2.20833,2.25000,2.25000,12600
