Date,Open,High,Low,Close,Adj Close,Volume
1992-04-01,6.66667,7.00000,6.66667,6.83333,6.83333,4215700
1992-04-02,6.83333,7.00000,6.77778,6.77778,6.77778,439800
1992-04-03,6.77778,6.88889,6.77778,6.77778,6.77778,553200
1992-04-06,6.77778,6.88889,6.77778,6.77778,6.77778,389200
1992-04-07,6.77778,7.00000,6.77778,6.77778,6.77778,497200
1992-04-08,6.77778,6.77778,6.44444,6.44444,6.44444,220900
1992-04-09,6.44444,6.77778,6.44444,6.77778,6.77778,284800
1992-04-10,6.66667,6.77778,6.55556,6.77778,6.77778,114300
1992-04-13,6.66667,6.77778,6.66667,6.72222,6.72222,38400
1992-04-14,6.66667,6.88889,6.66667,6.88889,6.88889,263200
1992-04-15,6.77778,7.00000,6.77778,7.00000,7.00000,496800
1992-04-16,6.77778,7.22222,6.77778,7.00000,7.00000,262300
1992-04-20,7.00000,7.22222,7.00000,7.00000,7.00000,33900
1992-04-21,7.00000,7.33333,7.00000,7.22222,7.22222,22600
1992-04-22,7.00000,7.44444,7.00000,7.44444,7.44444,142800
1992-04-23,7.11111,7.44444,7.11111,7.22222,7.22222,32400
1992-04-24,7.22222,7.22222,7.11111,7.16667,7.16667,84100
1992-04-27,7.11111,7.11111,7.11111,7.11111,7.11111,600
1992-04-28,7.11111,7.22222,7.11111,7.11111,7.11111,51900
1992-04-29,7.11111,7.11111,7.11111,7.11111,7.11111,5500
1992-04-30,7.22222,7.22222,7.11111,7.11111,7.11111,53100
1992-05-01,7.16667,7.44444,7.11111,7.11111,7.11111,39300
1992-05-04,7.11111,7.38889,7.11111,7.38889,7.38889,41400
1992-05-05,7.44444,7.44444,7.11111,7.11111,7.11111,41500
1992-05-06,7.11111,7.16667,7.11111,7.11111,7.11111,45600
1992-05-07,7.11111,7.44444,7.11111,7.16667,7.16667,249000
1992-05-08,7.11111,7.11111,7.11111,7.11111,7.11111,900
1992-05-11,7.11111,7.44444,7.11111,7.38889,7.38889,111600
1992-05-12,7.44444,7.44444,7.27778,7.33333,7.33333,22900
1992-05-13,7.27778,7.33333,7.27778,7.33333,7.33333,34800
1992-05-14,7.44444,7.55556,7.22222,7.22222,7.22222,9000
1992-05-15,7.55556,7.55556,7.22222,7.22222,7.22222,49200
1992-05-18,7.22222,7.22222,7.22222,7.22222,7.22222,4500
1992-05-19,7.33333,7.33333,7.22222,7.33333,7.33333,56800
1992-05-20,7.22222,7.22222,7.22222,7.22222,7.22222,600
1992-05-21,7.22222,7.44444,7.22222,7.33333,7.33333,12600
1992-05-22,7.22222,7.33333,7.16667,7.33333,7.33333,11200
1992-05-26,7.11111,7.11111,7.11111,7.11111,7.11111,100
1992-05-27,7.33333,7.33333,7.16667,7.16667,7.16667,74400
1992-05-28,7.11111,7.22222,7.11111,7.11111,7.11111,30600
1992-05-29,7.22222,7.22222,7.11111,7.11111,7.11111,62100
1992-06-01,7.11111,7.11111,6.88889,6.88889,6.88889,43200
1992-06-02,6.88889,7.11111,6.66667,6.77778,6.77778,43800
1992-06-03,7.00000,7.00000,6.83333,6.94444,6.94444,144000
1992-06-04,6.88889,6.94444,6.88889,6.94444,6.94444,112500
1992-06-05,6.94444,6.94444,6.94444,6.94444,6.94444,0
1992-06-08,6.94444,6.94444,6.94444,6.94444,6.94444,0
1992-06-09,6.66667,6.66667,6.55556,6.55556,6.55556,13200
1992-06-10,6.66667,6.66667,6.55556,6.55556,6.55556,39700
1992-06-11,6.61111,6.61111,6.44444,6.44444,6.44444,69700
1992-06-12,6.77778,6.77778,6.44444,6.44444,6.44444,45100
1992-06-15,6.44444,6.44444,6.44444,6.44444,6.44444,0
1992-06-16,6.44444,6.44444,6.44444,6.44444,6.44444,100
1992-06-17,6.44444,6.44444,6.44444,6.44444,6.44444,400
1992-06-18,6.66667,6.66667,6.11111,6.11111,6.11111,45400
1992-06-19,6.11111,6.11111,5.66667,5.83333,5.83333,51700
1992-06-22,5.66667,5.66667,5.22222,5.22222,5.22222,218200
1992-06-23,5.66667,5.77778,5.44444,5.44444,5.44444,36100
1992-06-24,5.88889,5.88889,5.55556,5.88889,5.88889,86100
1992-06-25,5.88889,5.88889,5.61111,5.88889,5.88889,40200
1992-06-26,5.88889,5.88889,5.61111,5.66667,5.66667,113100
1992-06-29,5.33333,5.55556,4.83333,5.11111,5.11111,534700
1992-06-30,5.33333,5.33333,4.94444,5.11111,5.11111,81100
1992-07-01,5.33333,5.33333,5.22222,5.27778,5.27778,50800
1992-07-02,5.66667,5.77778,5.44444,5.77778,5.77778,256500
1992-07-06,5.77778,5.77778,5.77778,5.77778,5.77778,2200
1992-07-07,5.77778,5.88889,5.66667,5.66667,5.66667,111300
1992-07-08,5.44444,5.66667,5.22222,5.66667,5.66667,7300
1992-07-09,5.22222,5.44444,5.22222,5.44444,5.44444,16600
1992-07-10,5.44444,5.44444,5.44444,5.44444,5.44444,0
1992-07-13,5.44444,5.66667,5.33333,5.66667,5.66667,18600
1992-07-14,5.33333,5.66667,5.33333,5.66667,5.66667,6700
1992-07-15,5.66667,5.66667,5.33333,5.44444,5.44444,64300
1992-07-16,5.66667,5.66667,5.66667,5.66667,5.66667,1300
1992-07-17,5.66667,5.66667,5.66667,5.66667,5.66667,6700
1992-07-20,5.55556,5.55556,5.33333,5.33333,5.33333,7300
1992-07-21,5.66667,5.88889,5.66667,5.66667,5.66667,7600
1992-07-22,6.00000,6.00000,6.00000,6.00000,6.00000,6000
1992-07-23,6.11111,6.33333,6.11111,6.33333,6.33333,6000
1992-07-24,6.33333,6.33333,6.33333,6.33333,6.33333,12300
1992-07-27,6.00000,6.55556,5.88889,6.55556,6.55556,52800
1992-07-28,6.66667,7.00000,6.55556,6.55556,6.55556,87700
1992-07-29,6.55556,6.66667,6.44444,6.44444,6.44444,84600
1992-07-30,6.66667,6.66667,5.88889,6.22222,6.22222,47200
1992-07-31,5.88889,6.22222,5.77778,5.88889,5.88889,40500
1992-08-03,5.77778,6.00000,5.66667,5.66667,5.66667,54600
1992-08-04,5.66667,5.77778,5.66667,5.77778,5.77778,6000
1992-08-05,5.44444,5.77778,5.44444,5.77778,5.77778,10900
1992-08-06,5.77778,5.77778,5.77778,5.77778,5.77778,900
1992-08-07,5.66667,5.88889,5.55556,5.66667,5.66667,44200
1992-08-10,5.66667,6.00000,5.66667,6.00000,6.00000,2700
1992-08-11,6.00000,6.00000,5.83333,6.00000,6.00000,6000
1992-08-12,5.55556,5.77778,5.55556,5.77778,5.77778,15900
1992-08-13,5.77778,5.77778,5.55556,5.55556,5.55556,13500
1992-08-14,5.77778,5.77778,5.55556,5.55556,5.55556,13000
1992-08-17,5.55556,5.66667,5.55556,5.61111,5.61111,37000
1992-08-18,5.77778,5.77778,5.44444,5.66667,5.66667,258000
1992-08-19,5.77778,5.77778,5.44444,5.77778,5.77778,320500
1992-08-20,5.50000,5.77778,5.44444,5.44444,5.44444,76000
1992-08-21,5.44444,5.77778,5.44444,5.77778,5.77778,88200
1992-08-24,5.77778,5.77778,5.66667,5.72222,5.72222,18900
1992-08-25,5.72222,5.77778,5.44444,5.44444,5.44444,12700
1992-08-26,5.61111,5.77778,5.44444,5.77778,5.77778,108400
1992-08-27,5.88889,5.88889,5.88889,5.88889,5.88889,5100
1992-08-28,5.88889,6.16667,5.77778,6.16667,6.16667,6900
1992-08-31,6.22222,6.22222,6.22222,6.22222,6.22222,13500
1992-09-01,6.33333,6.38889,6.11111,6.38889,6.38889,38800
1992-09-02,6.33333,6.66667,6.33333,6.66667,6.66667,20800
1992-09-03,6.66667,6.66667,6.55556,6.55556,6.55556,600
1992-09-04,6.38889,6.38889,6.33333,6.33333,6.33333,35500
1992-09-08,6.33333,6.33333,6.27778,6.27778,6.27778,4500
1992-09-09,6.38889,6.38889,6.11111,6.11111,6.11111,15900
1992-09-10,6.11111,6.11111,6.11111,6.11111,6.11111,0
1992-09-11,6.22222,6.33333,6.11111,6.11111,6.11111,15900
1992-09-14,6.44444,6.44444,6.11111,6.44444,6.44444,11400
1992-09-15,6.44444,6.44444,6.22222,6.22222,6.22222,1300
1992-09-16,6.16667,6.16667,6.00000,6.00000,6.00000,2400
1992-09-17,6.00000,6.44444,6.00000,6.44444,6.44444,14400
1992-09-18,6.44444,6.44444,6.11111,6.44444,6.44444,44200
1992-09-21,6.44444,6.44444,6.22222,6.22222,6.22222,64300
1992-09-22,6.44444,6.44444,6.11111,6.22222,6.22222,105400
1992-09-23,6.11111,6.33333,6.11111,6.11111,6.11111,28800
1992-09-24,6.22222,6.33333,6.11111,6.11111,6.11111,220200
1992-09-25,6.11111,6.22222,5.83333,6.00000,6.00000,96400
1992-09-28,6.11111,6.11111,5.88889,5.88889,5.88889,21300
1992-09-29,5.88889,5.94444,5.77778,5.77778,5.77778,70300
1992-09-30,6.00000,6.00000,5.44444,5.44444,5.44444,73300
1992-10-01,5.44444,5.55556,5.44444,5.55556,5.55556,120700
1992-10-02,5.50000,5.66667,5.44444,5.44444,5.44444,49200
1992-10-05,5.44444,5.44444,5.11111,5.16667,5.16667,70300
1992-10-06,5.44444,5.55556,5.22222,5.38889,5.38889,95800
1992-10-07,5.55556,5.55556,5.33333,5.33333,5.33333,32400
1992-10-08,5.38889,5.55556,5.27778,5.33333,5.33333,92800
1992-10-09,5.33333,5.44444,5.22222,5.22222,5.22222,108600
1992-10-12,5.44444,5.44444,5.11111,5.11111,5.11111,290700
1992-10-13,5.16667,5.44444,5.11111,5.44444,5.44444,83200
1992-10-14,5.44444,5.44444,5.11111,5.27778,5.27778,101800
1992-10-15,5.33333,5.33333,5.22222,5.22222,5.22222,39300
1992-10-16,5.11111,5.33333,5.11111,5.22222,5.22222,5400
1992-10-19,5.22222,5.33333,5.11111,5.27778,5.27778,118300
1992-10-20,5.33333,5.55556,5.22222,5.38889,5.38889,188200
1992-10-21,5.66667,5.66667,5.44444,5.55556,5.55556,56700
1992-10-22,5.44444,5.66667,5.44444,5.55556,5.55556,89200
1992-10-23,5.66667,5.66667,5.55556,5.61111,5.61111,75600
1992-10-26,5.66667,5.66667,5.44444,5.66667,5.66667,39100
