Date,Open,High,Low,Close,Adj Close,Volume
2017-03-02,24.00000,26.05000,23.50000,24.48000,24.48000,217048900
2017-03-03,26.39000,29.44000,26.06000,27.09000,27.09000,148166400
2017-03-06,28.17000,28.25000,23.77000,23.77000,23.77000,72903000
2017-03-07,22.21000,22.50000,20.64000,21.44000,21.44000,71857800
2017-03-08,22.03000,23.43000,21.31000,22.81000,22.81000,49819100
2017-03-09,23.17000,23.68000,22.51000,22.71000,22.71000,25803200
2017-03-10,23.36000,23.40000,22.00000,22.07000,22.07000,18337600
2017-03-13,22.05000,22.15000,20.96000,21.09000,21.09000,20605900
2017-03-14,20.90000,20.98000,20.15000,20.58000,20.58000,20033200
2017-03-15,20.08000,21.40000,20.05000,20.77000,20.77000,24985900
2017-03-16,20.65000,20.69000,19.75000,19.89000,19.89000,25630200
2017-03-17,19.80000,19.85000,18.90000,19.54000,19.54000,34252000
2017-03-20,19.94000,20.43000,19.72000,19.93000,19.93000,21016000
2017-03-21,20.04000,20.54000,19.55000,20.38000,20.38000,19801500
2017-03-22,20.65000,22.25000,20.52000,21.82000,21.82000,47599300
2017-03-23,22.69000,23.30000,22.22000,23.13000,23.13000,40645400
2017-03-24,23.05000,23.10000,22.34000,22.74000,22.74000,17263200
2017-03-27,23.09000,24.40000,22.60000,23.83000,23.83000,48398200
2017-03-28,23.31000,23.36000,22.17000,22.21000,22.21000,49889900
2017-03-29,21.77000,22.71000,21.33000,22.55000,22.55000,31475600
2017-03-30,22.55000,22.85000,22.00000,22.23000,22.23000,17094300
2017-03-31,22.05000,22.62000,22.00000,22.53000,22.53000,15087100
2017-04-03,22.70000,22.90000,22.11000,22.35000,22.35000,12521300
2017-04-04,22.21000,22.67000,21.88000,22.14000,22.14000,16313500
2017-04-05,22.15000,22.22000,20.67000,20.70000,20.70000,26099300
2017-04-06,20.76000,20.76000,20.03000,20.57000,20.57000,21933900
2017-04-07,20.68000,21.08000,20.60000,20.82000,20.82000,10580900
2017-04-10,21.09000,21.27000,20.70000,20.97000,20.97000,8629800
2017-04-11,21.01000,21.20000,20.34000,20.70000,20.70000,13310700
2017-04-12,20.70000,20.83000,20.18000,20.22000,20.22000,9362600
2017-04-13,20.20000,20.37000,19.81000,20.19000,20.19000,13600400
2017-04-17,20.09000,20.21000,19.80000,19.94000,19.94000,11714700
2017-04-18,19.83000,20.89000,19.73000,20.55000,20.55000,15974700
2017-04-19,20.50000,20.91000,20.41000,20.62000,20.62000,8737800
2017-04-20,20.63000,21.26000,20.62000,21.15000,21.15000,10025600
2017-04-21,21.37000,21.49000,20.71000,20.93000,20.93000,7724300
2017-04-24,21.20000,21.30000,21.01000,21.20000,21.20000,5928200
2017-04-25,21.08000,21.40000,20.56000,21.34000,21.34000,9588000
2017-04-26,21.25000,21.65000,21.08000,21.58000,21.58000,10141300
2017-04-27,21.58000,22.12000,21.58000,22.01000,22.01000,10764400
2017-04-28,22.05000,22.59000,22.01000,22.55000,22.55000,8994000
2017-05-01,22.66000,22.84000,22.11000,22.21000,22.21000,7959300
2017-05-02,22.37000,22.37000,21.75000,21.99000,21.99000,8135900
2017-05-03,21.80000,22.21000,21.63300,21.82000,21.82000,7074300
2017-05-04,22.18000,23.22000,21.90000,22.59000,22.59000,19005400
2017-05-05,23.08000,23.25000,22.51000,23.19000,23.19000,12833900
2017-05-08,23.17000,23.57000,22.22500,22.46000,22.46000,18088000
2017-05-09,22.70000,23.44000,22.67500,23.32000,23.32000,17935000
2017-05-10,23.11000,23.32000,22.87000,22.98000,22.98000,47513200
2017-05-11,17.96000,18.90000,17.59000,18.05000,18.05000,131859500
2017-05-12,18.44000,19.48000,18.16000,19.14000,19.14000,68971000
2017-05-15,19.57000,20.95000,19.49000,20.74000,20.74000,69830000
2017-05-16,20.54000,20.88000,20.15000,20.78000,20.78000,41017400
2017-05-17,20.56000,20.59000,19.69000,19.90000,19.90000,29254500
2017-05-18,19.86000,20.58000,19.86000,20.27000,20.27000,16005000
2017-05-19,20.42000,20.64000,19.93000,20.00000,20.00000,18960700
2017-05-22,20.14000,20.34000,20.01000,20.08000,20.08000,9151900
2017-05-23,20.14000,20.30000,19.90000,20.03000,20.03000,8239200
2017-05-24,20.20000,20.62000,20.00000,20.53000,20.53000,13659900
2017-05-25,20.16000,21.94000,20.11000,21.93000,21.93000,24326000
2017-05-26,21.66000,21.70000,21.07000,21.22000,21.22000,13374000
2017-05-30,21.30000,21.58000,21.01000,21.45000,21.45000,9509400
2017-05-31,21.50000,21.75000,21.09400,21.21000,21.21000,9507200
2017-06-01,21.32000,21.45000,21.19000,21.34000,21.34000,7146500
2017-06-02,21.34000,21.45000,21.00000,21.09000,21.09000,9595400
